code,nom,pourcentage,complet
80062,Beaucamps-le-Vieux,"100,00",oui
80098,Bettembos,"100,00",oui
80150,Buire-Courcelles,"100,00",oui
80184,Cerisy,"100,00",oui
80241,Domart-en-Ponthieu,"100,00",oui
80368,Friville-Escarbotin,"100,00",oui
80423,Havernas,"100,00",oui
80570,Moreuil,"100,00",oui
80574,Mouflers,"100,00",oui
80618,Pendé,"100,00",oui
80677,Roisel,"100,00",oui
80685,Roye,"100,00",oui
80688,Rue,"100,00",oui
80696,Sains-en-Amiénois,"100,00",oui
81004,Albi,"100,00",oui
81039,Briatexte,"0,00",non
81060,Carmaux,"100,00",oui
81069,Cordes-sur-Ciel,"100,00",oui
81070,Coufouleux,"66,66",non
81128,Lacrouzette,"100,00",oui
81206,Penne,"100,00",oui
82013,Beaumont-de-Lomagne,"100,00",oui
82033,Castelsarrasin,"100,00",oui
82075,Grisolles,"100,00",oui
82161,Saint-Etienne-de-Tulmont,"100,00",oui
82190,Verdun-sur-Garonne,"100,00",oui
83004,Les Arcs,"100,00",oui
83009,Bandol,"100,00",oui
83011,Bargemon,"100,00",oui
83018,Besse-sur-Issole,"100,00",oui
83048,La Croix-Valmer,"100,00",oui
83055,Fayence,"100,00",oui
